timestamp_utc,learner_id,learner_role,resource_id,user_prompt_character_count,clarity_score,context_score,constraints_score,evaluation_score,primary_weakness,recommended_resource_id
2025-10-03T07:36:21.978781+00:00,L-022,learner,micro-tutor-04,1149,5,4,3,4.0,Constraints,tutorial-prompt-constraints
2025-10-03T08:34:51.029121+00:00,L-003,learner,micro-tutor-02,1198,4,5,4,4.33,Clarity,tutorial-clarity-basics
2025-10-03T09:32:50.466138+00:00,L-043,learner,micro-tutor-03,1447,4,5,1,3.33,Constraints,tutorial-prompt-constraints
2025-10-03T13:12:51.603650+00:00,L-005,learner,micro-tutor-05,1026,1,5,4,3.33,Clarity,tutorial-clarity-basics
2025-10-03T15:43:03.651228+00:00,L-024,learner,micro-tutor-02,558,2,4,3,3.0,Clarity,tutorial-clarity-basics
2025-10-03T17:51:58.501622+00:00,L-045,learner,micro-tutor-03,440,1,3,5,3.0,Clarity,tutorial-clarity-basics
2025-10-04T02:20:07.832988+00:00,L-036,learner,micro-tutor-02,1486,1,1,2,1.33,Clarity,tutorial-clarity-basics
2025-10-04T02:27:45.730143+00:00,L-010,learner,micro-tutor-05,1178,2,2,3,2.33,Clarity,tutorial-clarity-basics
2025-10-04T07:29:44.614394+00:00,L-013,learner,micro-tutor-04,858,5,3,1,3.0,Constraints,tutorial-prompt-constraints
2025-10-04T09:15:11.645981+00:00,L-043,learner,micro-tutor-03,633,2,3,1,2.0,Constraints,tutorial-prompt-constraints
2025-10-04T14:10:09.640448+00:00,L-046,learner,micro-tutor-02,1302,5,4,3,4.0,Constraints,tutorial-prompt-constraints
2025-10-04T18:47:07.091918+00:00,L-001,learner,micro-tutor-05,115,1,5,4,3.33,Clarity,tutorial-clarity-basics
2025-10-04T20:23:08.204404+00:00,L-032,learner,micro-tutor-04,1207,4,2,1,2.33,Constraints,tutorial-prompt-constraints
2025-10-04T21:04:42.094791+00:00,L-007,learner,micro-tutor-04,738,5,5,4,4.67,Constraints,tutorial-prompt-constraints
2025-10-04T21:57:02.972955+00:00,L-005,learner,micro-tutor-04,1044,2,3,4,3.0,Clarity,tutorial-clarity-basics
2025-10-05T01:29:19.895659+00:00,L-043,learner,micro-tutor-04,1445,5,4,1,3.33,Constraints,tutorial-prompt-constraints
2025-10-05T03:01:06.491362+00:00,L-006,learner,micro-tutor-01,1384,3,2,1,2.0,Constraints,tutorial-prompt-constraints
2025-10-05T05:30:06.357325+00:00,L-045,learner,micro-tutor-04,59,4,4,4,4.0,Clarity,tutorial-clarity-basics
2025-10-05T07:22:11.974092+00:00,L-023,learner,micro-tutor-04,644,4,3,2,3.0,Constraints,tutorial-prompt-constraints
2025-10-05T08:25:38.495969+00:00,L-010,learner,micro-tutor-02,298,3,4,4,3.67,Clarity,tutorial-clarity-basics
2025-10-05T14:00:35.925865+00:00,L-027,learner,micro-tutor-01,1418,5,1,1,2.33,Context,tutorial-grounding-techniques
2025-10-05T14:01:52.719861+00:00,L-026,learner,micro-tutor-02,1266,2,1,1,1.33,Context,tutorial-grounding-techniques
2025-10-05T16:21:20.022655+00:00,L-039,learner,micro-tutor-02,354,3,3,4,3.33,Clarity,tutorial-clarity-basics
2025-10-06T00:10:32.443985+00:00,L-042,learner,micro-tutor-03,962,4,3,2,3.0,Constraints,tutorial-prompt-constraints
2025-10-06T00:13:42.067458+00:00,L-022,learner,micro-tutor-04,772,2,2,5,3.0,Clarity,tutorial-clarity-basics
2025-10-06T01:18:15.414920+00:00,L-005,learner,micro-tutor-04,1001,2,2,5,3.0,Clarity,tutorial-clarity-basics
2025-10-06T03:45:50.220944+00:00,L-004,learner,micro-tutor-03,100,2,2,2,2.0,Clarity,tutorial-clarity-basics
2025-10-06T05:12:15.727240+00:00,L-041,learner,micro-tutor-01,52,3,3,1,2.33,Constraints,tutorial-prompt-constraints
2025-10-06T08:44:11.294613+00:00,L-021,learner,micro-tutor-03,216,5,1,1,2.33,Context,tutorial-grounding-techniques
2025-10-06T12:11:54.798669+00:00,L-042,learner,micro-tutor-04,1205,3,2,3,2.67,Context,tutorial-grounding-techniques
2025-10-06T21:03:42.895087+00:00,L-003,learner,micro-tutor-02,430,1,5,1,2.33,Clarity,tutorial-clarity-basics
2025-10-07T00:30:44.003882+00:00,L-014,learner,micro-tutor-01,353,1,3,5,3.0,Clarity,tutorial-clarity-basics
2025-10-07T02:44:10.696152+00:00,L-014,learner,micro-tutor-04,1189,1,3,2,2.0,Clarity,tutorial-clarity-basics
2025-10-07T02:50:51.213387+00:00,L-030,learner,micro-tutor-03,348,3,3,4,3.33,Clarity,tutorial-clarity-basics
2025-10-07T03:26:42.490326+00:00,L-019,learner,micro-tutor-02,326,4,4,2,3.33,Constraints,tutorial-prompt-constraints
2025-10-07T05:14:15.697112+00:00,L-026,learner,micro-tutor-05,613,2,4,3,3.0,Clarity,tutorial-clarity-basics
2025-10-07T07:40:27.245797+00:00,L-046,learner,micro-tutor-05,1097,4,2,1,2.33,Constraints,tutorial-prompt-constraints
2025-10-07T08:02:59.667303+00:00,L-032,learner,micro-tutor-05,975,3,4,4,3.67,Clarity,tutorial-clarity-basics
2025-10-07T08:57:32.189109+00:00,L-041,learner,micro-tutor-03,264,1,3,3,2.33,Clarity,tutorial-clarity-basics
2025-10-07T09:41:49.816434+00:00,L-017,learner,micro-tutor-04,637,1,1,3,1.67,Clarity,tutorial-clarity-basics
2025-10-07T10:58:03.371402+00:00,L-047,learner,micro-tutor-04,144,1,4,4,3.0,Clarity,tutorial-clarity-basics
2025-10-07T11:51:24.241547+00:00,L-033,learner,micro-tutor-03,1028,1,4,2,2.33,Clarity,tutorial-clarity-basics
2025-10-07T12:06:15.959765+00:00,L-036,learner,micro-tutor-02,871,2,5,1,2.67,Constraints,tutorial-prompt-constraints
2025-10-07T13:12:15.866597+00:00,L-009,learner,micro-tutor-03,946,5,5,4,4.67,Constraints,tutorial-prompt-constraints
2025-10-07T17:25:21.459740+00:00,L-011,learner,micro-tutor-03,1314,4,5,1,3.33,Constraints,tutorial-prompt-constraints
2025-10-07T17:26:24.883648+00:00,L-005,learner,micro-tutor-02,1156,3,3,3,3.0,Clarity,tutorial-clarity-basics
2025-10-07T18:25:44.609281+00:00,L-017,learner,micro-tutor-03,732,3,5,2,3.33,Constraints,tutorial-prompt-constraints
2025-10-07T19:33:46.667953+00:00,L-017,learner,micro-tutor-03,1089,5,1,3,3.0,Context,tutorial-grounding-techniques
2025-10-07T20:10:13.601593+00:00,L-015,learner,micro-tutor-03,1271,3,3,5,3.67,Clarity,tutorial-clarity-basics
2025-10-07T21:33:36.127332+00:00,L-008,learner,micro-tutor-01,1402,2,2,3,2.33,Clarity,tutorial-clarity-basics
2025-10-08T00:17:31.905245+00:00,L-024,learner,micro-tutor-05,721,4,4,5,4.33,Clarity,tutorial-clarity-basics
2025-10-08T00:29:15.066285+00:00,L-028,learner,micro-tutor-05,862,3,3,3,3.0,Clarity,tutorial-clarity-basics
2025-10-08T05:31:38.945076+00:00,L-015,learner,micro-tutor-02,1430,2,5,1,2.67,Constraints,tutorial-prompt-constraints
2025-10-08T09:59:49.901141+00:00,L-008,learner,micro-tutor-03,441,5,1,5,3.67,Context,tutorial-grounding-techniques
2025-10-08T12:01:54.142278+00:00,L-038,learner,micro-tutor-04,561,4,5,5,4.67,Clarity,tutorial-clarity-basics
2025-10-08T13:18:59.158880+00:00,L-029,learner,micro-tutor-04,321,3,3,1,2.33,Constraints,tutorial-prompt-constraints
2025-10-08T14:18:10.399599+00:00,L-036,learner,micro-tutor-04,623,4,1,2,2.33,Context,tutorial-grounding-techniques
2025-10-08T14:55:48.208712+00:00,L-029,learner,micro-tutor-02,268,4,3,3,3.33,Context,tutorial-grounding-techniques
2025-10-08T14:56:44.551543+00:00,L-004,learner,micro-tutor-01,736,3,5,5,4.33,Clarity,tutorial-clarity-basics
2025-10-08T15:54:18.815058+00:00,L-021,learner,micro-tutor-04,97,4,3,4,3.67,Context,tutorial-grounding-techniques
2025-10-08T16:26:14.569149+00:00,L-038,learner,micro-tutor-01,313,1,2,4,2.33,Clarity,tutorial-clarity-basics
2025-10-08T16:34:20.338321+00:00,L-043,learner,micro-tutor-03,1372,3,4,5,4.0,Clarity,tutorial-clarity-basics
2025-10-08T17:29:34.559855+00:00,L-042,learner,micro-tutor-02,187,5,3,3,3.67,Context,tutorial-grounding-techniques
2025-10-08T18:53:58.451695+00:00,L-014,learner,micro-tutor-03,931,4,5,5,4.67,Clarity,tutorial-clarity-basics
2025-10-08T19:06:46.382895+00:00,L-042,learner,micro-tutor-01,458,3,5,4,4.0,Clarity,tutorial-clarity-basics
2025-10-08T19:26:57.786132+00:00,L-033,learner,micro-tutor-02,611,2,3,2,2.33,Clarity,tutorial-clarity-basics
2025-10-08T20:14:54.562974+00:00,L-003,learner,micro-tutor-03,154,5,4,3,4.0,Constraints,tutorial-prompt-constraints
2025-10-08T21:27:17.791189+00:00,L-025,learner,micro-tutor-04,1051,1,2,5,2.67,Clarity,tutorial-clarity-basics
2025-10-08T23:55:17.841690+00:00,L-029,learner,micro-tutor-04,885,5,5,5,5.0,Clarity,tutorial-clarity-basics
2025-10-09T00:20:27.442900+00:00,L-042,learner,micro-tutor-05,536,3,3,3,3.0,Clarity,tutorial-clarity-basics
2025-10-09T00:22:11.886646+00:00,L-009,learner,micro-tutor-04,102,3,5,3,3.67,Clarity,tutorial-clarity-basics
2025-10-09T04:59:04.033624+00:00,L-004,learner,micro-tutor-04,1486,2,3,2,2.33,Clarity,tutorial-clarity-basics
2025-10-09T05:47:29.167635+00:00,L-021,learner,micro-tutor-03,1142,2,3,5,3.33,Clarity,tutorial-clarity-basics
2025-10-09T10:40:41.118515+00:00,L-012,learner,micro-tutor-02,1336,5,3,2,3.33,Constraints,tutorial-prompt-constraints
2025-10-09T12:12:58.830075+00:00,L-047,learner,micro-tutor-05,283,4,3,4,3.67,Context,tutorial-grounding-techniques
2025-10-09T13:02:58.059890+00:00,L-030,learner,micro-tutor-04,987,5,5,2,4.0,Constraints,tutorial-prompt-constraints
2025-10-09T13:52:12.248140+00:00,L-044,learner,micro-tutor-03,1247,5,5,4,4.67,Constraints,tutorial-prompt-constraints
2025-10-09T13:53:09.312732+00:00,L-013,learner,micro-tutor-03,1127,1,2,4,2.33,Clarity,tutorial-clarity-basics
